#                  NOMINAL TIMING        EARLY TIMING       LATE TIMING
#    mo. yr.  mean +2sig -2sig ap mean +2sig -2sig ap mean +2sig -2sig ap

     10 2017    69   71   67    8   72   79   67    8   69   71   67    8
     11 2017    69   71   67    8   74   83   67    8   69   71   67    8
     12 2017    69   71   67    8   77   86   67    8   69   71   67    8
      1 2018    77   84   67    8  102  117   80   10   69   71   67    8
      2 2018    80   88   68    8  106  124   82   10   69   71   67    8
      3 2018    83   93   69    9  110  130   85   11   69   71   67    8
      4 2018    87   97   72    9  115  135   87   11   69   71   67    8
      5 2018    90  103   73    9  119  141   89   11   70   74   67    8
      6 2018    94  108   74    9  123  146   92   12   72   77   67    8
      7 2018    98  112   77   10  127  153   94   12   74   81   67    8
      8 2018   102  118   79   10  132  158   96   12   77   84   67    8
      9 2018   106  125   82   10  136  164   98   13   80   88   68    8
     10 2018   110  130   84   11  140  169  101   13   83   93   69    9
     11 2018   115  135   86   11  144  173  103   13   87   97   72    9
     12 2018   119  141   89   11  148  179  104   13   90  103   73    9
      1 2019   123  147   91   12  152  185  107   14   94  109   74    9
      2 2019   127  154   93   12  155  189  109   14   98  113   76   10
      3 2019   132  159   95   12  159  193  112   14  102  118   79   10
      4 2019   136  164   98   13  162  198  113   14  106  125   81   10
      5 2019   140  170  100   13  165  201  116   15  110  131   84   11
      6 2019   144  174  102   13  168  206  117   15  115  136   86   11
      7 2019   148  180  103   13  171  209  119   15  119  141   88   11
      8 2019   152  185  106   14  174  212  120   15  123  147   90   12
      9 2019   155  190  109   14  176  214  122   15  127  154   93   12
     10 2019   159  194  111   14  178  217  124   16  132  159   95   12
     11 2019   162  199  112   14  180  220  126   16  136  165   97   13
     12 2019   165  202  115   15  182  222  126   16  140  170   99   13
      1 2020   168  206  116   15  183  223  128   16  144  175  102   13
      2 2020   171  209  118   15  185  223  129   16  148  180  102   13
      3 2020   174  212  119   15  186  224  129   16  152  186  105   14
      4 2020   176  215  121   15  187  226  130   16  155  190  108   14
      5 2020   178  218  123   16  187  227  132   16  159  195  110   14
      6 2020   180  220  125   16  188  227  133   16  162  199  111   14
      7 2020   182  222  125   16  188  227  132   16  165  202  114   15
      8 2020   183  224  127   16  188  225  134   16  168  207  115   15
      9 2020   185  224  128   16  188  226  134   16  171  210  117   15
     10 2020   186  225  128   16  187  225  134   16  174  213  118   15
     11 2020   187  226  129   16  187  223  134   16  176  215  120   15
     12 2020   187  228  131   16  186  222  134   16  178  219  122   16
